,year,state,value,temperature,precipitation,hours
0,2010,AM,0.0,26.22,7.16,8.19
1,2011,AM,0.0,25.67,8.03,9.1
2,2013,AM,2.0,25.76,8.0,8.79
3,2014,AM,0.0,25.73,8.21,8.87
4,2015,AM,0.0,26.52,7.42,7.7
5,2016,AM,2.0,26.32,7.88,8.24
6,2017,AM,1.0,26.22,6.3,7.42
7,2018,AM,1.0,26.04,5.54,8.38
8,2019,AM,1.0,26.35,6.71,8.95
9,2012,AM,0.0,23.66,4.49,5.75
10,2010,DF,0.0,22.54,3.15,4.11
11,2011,DF,0.0,21.9,3.43,4.67
12,2013,DF,0.0,22.21,3.69,4.71
13,2014,DF,0.0,22.39,3.15,4.09
14,2015,DF,0.0,23.05,2.64,3.52
15,2016,DF,0.0,23.25,2.94,3.93
16,2017,DF,2.0,21.97,2.87,3.28
17,2018,DF,0.0,21.89,3.1,4.12
18,2019,DF,0.0,22.57,2.21,3.52
19,2012,DF,0.0,23.66,4.49,5.75
20,2010,ES,0.0,23.56,2.6,3.96
21,2011,ES,0.0,22.67,3.44,4.83
22,2013,ES,0.0,23.42,3.21,4.42
23,2014,ES,0.0,23.12,2.23,3.56
24,2015,ES,0.0,24.39,1.45,2.67
25,2016,ES,0.0,24.32,2.26,3.52
26,2017,ES,255.0,23.31,2.1,5.07
27,2018,ES,3.0,23.2,3.29,6.46
28,2019,ES,0.0,24.15,1.95,5.13
29,2012,ES,0.0,23.66,4.49,5.75
30,2010,GO,0.0,24.06,3.14,4.01
31,2011,GO,0.0,23.32,3.64,4.56
32,2013,GO,0.0,23.46,3.92,4.78
33,2014,GO,0.0,23.71,2.81,3.84
34,2015,GO,6.0,24.25,3.05,3.93
35,2016,GO,3.0,24.35,3.01,3.75
36,2017,GO,1.0,23.83,2.14,3.08
37,2018,GO,0.0,23.33,2.91,3.75
38,2019,GO,0.0,24.5,2.33,3.16
39,2012,GO,0.0,23.66,4.49,5.75
40,2010,MG,0.0,21.16,3.01,3.78
41,2011,MG,0.0,20.69,3.19,4.33
42,2013,MG,0.0,21.37,3.07,3.93
43,2014,MG,0.0,21.57,1.8,2.71
44,2015,MG,0.0,22.97,1.54,2.12
45,2016,MG,43.0,22.49,2.51,3.15
46,2017,MG,434.0,21.73,2.1,2.58
47,2018,MG,520.0,21.68,2.96,3.44
48,2019,MG,0.0,22.5,1.88,2.78
49,2012,MG,0.0,23.66,4.49,5.75
50,2010,MS,1.0,23.09,3.77,3.98
51,2011,MS,0.0,23.15,4.28,4.33
52,2013,MS,0.0,22.98,3.95,4.35
53,2014,MS,0.0,23.3,4.12,4.5
54,2015,MS,1.0,23.62,4.57,4.85
55,2016,MS,0.0,23.0,4.37,4.51
56,2017,MS,0.0,23.25,3.57,3.95
57,2018,MS,0.0,22.89,3.58,4.45
58,2019,MS,0.0,24.08,2.8,3.63
59,2012,MS,0.0,23.66,4.49,5.75
60,2010,MT,0.0,25.69,4.0,4.83
61,2011,MT,0.0,25.13,4.7,5.76
62,2013,MT,0.0,25.07,5.33,6.05
63,2014,MT,0.0,25.22,4.93,5.71
64,2015,MT,0.0,25.65,3.89,4.59
65,2016,MT,0.0,25.76,4.23,5.03
66,2017,MT,1.0,24.8,3.8,4.22
67,2018,MT,0.0,24.5,4.36,5.3
68,2019,MT,0.0,24.95,2.94,4.07
69,2012,MT,0.0,23.66,4.49,5.75
70,2010,PA,1.0,26.54,4.89,6.14
71,2011,PA,2.0,25.76,5.3,6.35
72,2013,PA,1.0,25.78,4.87,6.56
73,2014,PA,1.0,25.93,4.35,5.97
74,2015,PA,2.0,26.38,3.52,4.76
75,2016,PA,0.0,26.31,4.47,5.99
76,2017,PA,8.0,26.24,4.44,6.13
77,2018,PA,0.0,25.82,4.7,7.18
78,2019,PA,4.0,25.92,4.21,7.12
79,2012,PA,0.0,23.66,4.49,5.75
80,2010,PR,0.0,17.46,4.7,4.97
81,2011,PR,0.0,17.28,5.02,5.05
82,2013,PR,0.0,17.41,5.29,5.54
83,2014,PR,0.0,18.21,4.5,4.73
84,2015,PR,0.0,18.39,6.14,6.18
85,2016,PR,0.0,17.48,5.05,5.06
86,2017,PR,0.0,18.37,4.01,4.6
87,2018,PR,0.0,18.2,3.87,4.66
88,2019,PR,12.0,18.86,3.52,4.47
89,2012,PR,0.0,23.66,4.49,5.75
90,2010,RJ,0.0,22.96,2.96,4.68
91,2011,RJ,0.0,22.53,2.65,4.43
92,2013,RJ,0.0,22.66,3.53,4.89
93,2014,RJ,0.0,23.41,1.82,3.22
94,2015,RJ,0.0,23.87,2.78,4.16
95,2016,RJ,0.0,23.28,2.82,3.93
96,2017,RJ,28.0,24.13,2.73,4.19
97,2018,RJ,279.0,23.86,3.74,5.82
98,2019,RJ,0.0,24.47,3.24,5.47
99,2012,RJ,0.0,23.66,4.49,5.75
100,2010,SC,0.0,16.97,5.47,6.57
101,2011,SC,0.0,16.44,6.55,7.23
102,2013,SC,0.0,16.54,4.99,6.31
103,2014,SC,0.0,17.82,4.91,5.62
104,2015,SC,0.0,17.73,6.05,7.28
105,2016,SC,0.0,16.84,4.62,5.89
106,2017,SC,0.0,17.36,4.43,6.35
107,2018,SC,0.0,17.04,4.38,7.19
108,2019,SC,2.0,17.64,4.41,7.18
109,2012,SC,0.0,23.66,4.49,5.75
110,2010,SP,0.0,19.53,3.88,4.39
111,2011,SP,0.0,19.14,3.61,4.39
112,2013,SP,0.0,19.23,3.58,4.51
113,2014,SP,0.0,20.23,2.37,3.25
114,2015,SP,0.0,20.45,4.07,4.98
115,2016,SP,3.0,19.64,3.6,4.18
116,2017,SP,76.0,19.58,3.23,4.56
117,2018,SP,505.0,19.5,2.84,4.73
118,2019,SP,71.0,20.01,3.34,4.78
119,2012,SP,0.0,23.66,4.49,5.75
120,2010,TO,0.0,27.34,4.85,5.06
121,2011,TO,0.0,26.37,6.21,6.43
122,2013,TO,0.0,27.03,5.71,5.76
123,2014,TO,0.0,27.01,3.96,4.79
124,2015,TO,0.0,27.41,4.27,4.67
125,2016,TO,0.0,27.74,4.77,4.42
126,2017,TO,1.0,27.16,3.8,3.78
127,2018,TO,0.0,26.69,4.56,4.52
128,2019,TO,0.0,27.07,3.68,4.51
129,2012,TO,0.0,23.66,4.49,5.75
130,2010,AC,,26.22,7.16,8.19
131,2011,AC,,25.67,8.03,9.1
132,2012,AC,,25.77,7.4,8.55
133,2013,AC,,25.76,8.0,8.79
134,2014,AC,,25.73,8.21,8.87
135,2015,AC,,26.52,7.42,7.7
136,2016,AC,,26.32,7.88,8.24
137,2017,AC,,26.22,6.3,7.42
138,2018,AC,,26.04,5.54,8.38
139,2019,AC,,26.35,6.71,8.95
140,2012,AM,,25.77,7.4,8.55
141,2010,AP,,25.58,4.75,6.22
142,2011,AP,,25.31,6.62,6.59
143,2012,AP,,25.71,3.97,5.24
144,2013,AP,,25.46,5.12,6.31
145,2014,AP,,25.54,5.85,6.21
146,2015,AP,,26.01,4.65,5.74
147,2016,AP,,26.02,4.53,5.69
148,2017,AP,,25.64,6.04,7.03
149,2018,AP,,25.09,7.19,8.94
150,2019,AP,,25.58,5.15,8.24
151,2010,BA,,25.88,3.59,8.86
152,2011,BA,,25.39,3.55,8.93
153,2012,BA,,25.43,2.11,7.23
154,2013,BA,,25.67,3.98,9.26
155,2014,BA,,25.37,3.48,9.64
156,2015,BA,,25.91,3.51,8.23
157,2016,BA,,26.15,2.87,7.61
158,2017,BA,,25.46,4.29,9.39
159,2018,BA,,25.65,3.83,9.81
160,2019,BA,,25.95,3.42,9.56
161,2012,DF,,22.3,2.7,3.59
162,2012,ES,,23.33,1.84,4.07
163,2012,GO,,23.67,2.78,3.85
164,2010,MA,,27.48,3.64,7.25
165,2011,MA,,26.74,6.41,8.81
166,2012,MA,,27.06,3.08,6.82
167,2013,MA,,27.18,3.68,7.68
168,2014,MA,,26.97,4.39,8.58
169,2015,MA,,27.2,3.81,7.07
170,2016,MA,,27.52,3.48,7.31
171,2017,MA,,27.05,5.85,7.27
172,2018,MA,,26.59,7.15,8.88
173,2019,MA,,26.89,7.67,9.79
174,2012,MT,,25.24,4.26,5.05
175,2012,MS,,23.26,4.24,4.24
176,2012,MG,,21.29,2.11,2.99
177,2012,PA,,25.74,4.52,6.28
178,2012,PR,,18.16,4.39,4.55
179,2012,RJ,,23.22,2.36,3.71
180,2010,RS,,19.51,4.53,4.04
181,2011,RS,,19.1,3.93,3.88
182,2012,RS,,20.44,3.35,2.97
183,2013,RS,,19.1,3.99,3.53
184,2014,RS,,20.31,4.55,4.23
185,2015,RS,,20.27,5.08,4.31
186,2016,RS,,19.27,3.4,3.22
187,2017,RS,,20.41,4.61,3.98
188,2018,RS,,19.84,3.87,4.41
189,2019,RS,,20.39,3.75,4.5
190,2010,RO,,25.73,4.48,5.07
191,2011,RO,,25.36,5.93,6.21
192,2012,RO,,25.34,5.64,5.93
193,2013,RO,,24.91,6.02,6.54
194,2014,RO,,25.04,6.06,6.82
195,2015,RO,,25.84,5.4,5.89
196,2016,RO,,25.46,6.09,6.4
197,2017,RO,,25.17,4.92,5.22
198,2018,RO,,24.72,5.75,6.61
199,2019,RO,,25.16,5.48,6.65
200,2010,RR,,26.23,8.04,9.17
201,2011,RR,,25.51,8.48,9.09
202,2012,RR,,25.67,7.5,8.74
203,2013,RR,,25.93,7.22,8.11
204,2014,RR,,26.21,6.41,7.21
205,2015,RR,,27.03,4.8,6.25
206,2016,RR,,26.94,7.21,7.78
